tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
8,-3c,-3,-2,5,Momentum-Adjusted Gaussian,0.6330494750815024,0.6599113446808563,0.6563909331744018,0.6546458826851255,0.6330494750815024,0.6752208731747324,0.6351250384672619,0.6770733388234739,0.6419102679736726,0.6604501442782211
8,-2c,-2,-1,15,XGBoost,0.4998586462899005,0.508425298173258,0.5169440912221143,0.5223203747040587,0.5092866422547587,0.5137786218997724,0.4998586462899005,0.5013095358658516,0.5030233353092534,0.5167749252855022
8,-1c,-1,0,52,Standard Gaussian,0.4560332154540286,0.4560332154540286,0.4606517242272459,0.4649540472003065,0.45732998708213474,0.4581947006413748,0.471544436174388,0.46892610081536773,0.465490740411024,0.4638690829960407
8,+0c,0,1,133,Machine Learning (Logistic Regression),0.4526822844115614,0.45872078856213805,0.4645100195135969,0.46912122740344236,0.45872078856213805,0.4526822844115614,0.4611693078351829,0.4667649492485284,0.4590098823234201,0.4801170169709266
8,+1c,1,2,49,XGBoost,0.438839257587311,0.4516861782575662,0.46186081631988646,0.46842285250374066,0.44424015248716103,0.45586953029918736,0.438839257587311,0.4404713592444077,0.4396151399818519,0.4656775564213026
8,+2c,2,3,21,XGBoost,0.5207673101887943,0.551942537563143,0.5463714004666741,0.5450793918667495,0.5684391914069394,0.546613145517957,0.5207673101887943,0.5377933009907487,0.5433087346702825,0.5442340634067357
8,+3c,3,4,7,LightGBM,0.4192315929063049,0.4412983265831337,0.45397445896336436,0.4618729194384046,0.4740075284409369,0.4236156891210836,0.44509327221311096,0.4192315929063049,0.43391904033535916,0.4805303071333051
8,+4c,4,5,2,LightGBM,0.5901353451533139,0.7181626040754197,0.7161392474561966,0.7149212018442427,0.7607134712522468,0.7067578638758164,0.663832460699581,0.5901353451533139,0.6667305574175095,0.708943238242957
8,+5c,5,6,2,PySR (Symbolic Regression),0.8537146112981246,0.9419374053410312,0.906602844552538,0.8871425551054244,1.0079517883831959,0.894740625613078,0.9470468200542204,0.9671479786839324,0.9849130636882737,0.8537146112981246
8,+7c,7,8,1,PySR (Symbolic Regression),1.0743756188818434,1.2378743847762739,1.1976056268981754,1.1734936748441218,1.17118300986322,1.3490239636075916,1.2229970893320568,1.2197239389562287,1.263649527657212,1.0743756188818434
